"REGION"|"WBAN_ID"|"STATION_NAME"|"STATE_PROVINCE"|"COUNTY"|"COUNTRY"|"EXTENDED_NAME"|"CALL_SIGN"|"STATION_TYPE"|"DATE_ASSIGNED"|"BEGIN_DATE"|"COMMENTS"|"LOCATION"|"ELEV_OTHER"|"ELEV_GROUND"|"ELEV_RUNWAY"|"ELEV_BAROMETRIC"|"ELEV_STATION"|"ELEV_UPPER_AIR"
"240/940"|"00000"|"WOLF POINT"|"MT"||"US"||"OLF"|"FAA EXP"|"06/15/2010"||"THIS WBAN WAS ASSIGNED 00000 WAS CORRECTED TO 94017"|"48*05'40""N 105*35'28""W"||||||
"000"|"00100"|"DEXTER B FLORENCE MEMORIAL FIELD AP"|"AR"||"US"||"M89"|"METAR"|"09/21/2012"|"8/1/1960"|"ASSIGNED FOR METAR LOAD FOR QCLCD/ISD"|"34 05 59 N/ -93 03 57 W"||"182 FT"||||
"230/030"|"03001"|"NORTHRUP STRIP WSMR"|"NM"||"US"|||"U/A"||||||||||
"230/030"|"03002"|"STALLION RANGE WSMR"|"NM"||"US"|||"U/A"||||||||||
"230/030"|"03003"|"JALLEN RANGE WSMR"|"NM"||"US"|||"U/A"||||||||||
"230/030"|"03004"|"WHITE SANDS MISSEL RANGE C SITE"|"NM"||"US"|"MILITARY SURFACE"||||||||||||
"230/030"|"03005"|"DILLON IE"|"CO"||"US"|||"COOP"|||"DLLC2 TDL REQUEST"|"39 38 N / 106 02 W"||||||
"230/030"|"03006"|"TAYLOR PARK"|"CO"||"US"|||"COOP"|||"CRBC2 TDL REQUEST"|"38 49 N / 106 37 W"||||||
"230/030"|"03007"|"OURAY"|"CO"||"US"|||"COOP"|||"OURC2 TDL REQUEST"|||||||
"230/030"|"03008"|"VALLECITO DAM"|"CO"||"US"|||"COOP"|||"VLRC2 TDL REQUEST"|"37 22 N / 107 35 W"||||||
"230/030"|"03009"|"GLENWOOD SPRINGS #2"|"CO"||"US"|||"COOP"|||"GLWC2 TDL REQUEST"|"39 34 N / 107 19 W"||||||
"230/030"|"03010"|"DURANGO"|"CO"||"US"||"4V5"|"A"|||"4V5 (AFTER 1974) SEE 93004,5"|"37*09'00""N 107*45'00""W"||"6675 FT"|"6685 FT"|"6679.00 FT"|"6685 FT"|
"230/030"|"03011"|"TELLURIDE "|"CO"||"US"||"TEX"|"AWOS"||||||||||
"230/030"|"03012"|"TAOS"|"NM"||"US"||"SKX"|"AWOS"||||||||||
"230/030"|"03013"|"LAMAR"|"CO"|"POWERS"|"US"|"MUNICIPAL APT"|"LAA"|"ASOS"|"5/17/1995"|||"38*04'12""N 102*41'17""W"|||"3704 FT"|||
"230/030"|"03014"|"TORREON NAVAJO MISSON"|"NM"||"US"||"4SL"|"AIRWAY OBS/AWOS 4/25/05"|"4/25/2005"||"AIRWAY OBS/AWOS 4/25/05"|||||||
"230/030"|"03015"|"STAR LAKE"||||"JOHNSON RANCH"|"4SL"|"AC"||||||||||
"230/030"|"03016"|"RIFLE"|"CO"||"US"|"GARFIELD CNTY APT"|"RIL"|"SAWRS"||||||||||
"230/030"|"03017"|"DENVER INTL APT"|"CO"||"US"||"DVX-DEN NEW IN 1994"|"FCWOS"||||||||||
"230/030"|"03018"|"DENVER FRONT RANGE APT"|"CO"||"US"||"FTG"|"NEXRAD"||||||||||
"230/030"|"03019"|"ALBUQUERQUE"|"NM"||"US"||"ABX"|"NEXRAD"||||||||||
"230/030"|"03020"|"EL PASO WFO"|"NM"||"US"|"SANTA TERESA"|"EPZ"|"U/A, NEXRAD"||||||||||
"230/030"|"03021"|"PUEBLO"|"CO"||"US"||"KPUX"|"NEXRAD"||||||||||
"230/030"|"03022"|"CANNON AFB"|"NM"||"US"|"FIELD VILLAGE"|"KFDX"|"DOD NEXRAD"||||||||||
"230/030"|"03023"|"HOLLOMAN AFB/ALAMOGORDO (WHITE SAND)"|"NM"||||"KHDX"|"DOD NEXRAD"||||||||||
"230/030"|"03024"|"BORGER"|"TX"|"HUTCHINSON"|"US"|"HUTCHISON CO APT"|"BGD"|"ASOS-EXP/FAA"|"12/19/1995"|"12/18/1995"||"35*42'00""N 101*24""00""W"|"3041 FT"|||||
"230/030"|"03025"|"GRAND JUNCTION/MESA CO"|"CO"||"US"||"KGJX"|"NEXRAD"||||||||||
"230/030"|"03026"|"BURLINGTON"|"CO"|"KIT CARSON"|"US"|"KIT CARSON CO APT"|"ITR"|"ASOS "|"4/22/1997"|"4/10/1997"||"39*14'41""N 102*17'03""W"|||"4217 FT"|||
"230/030"|"03027"|"CLINES CORNER"|"CO"||"US"||"CQC/P70"|"ASOS-NWS"|"5/28/1998"|"5/27/1998"|"WAS A RAMOS SITE P70"|"35*00'10""N 105*39'46""W"||"7086 FT"||||
